Date,Open,High,Low,Close,Adj Close,Volume,,DJIA,S&P 500
01/02/15,17169.99023,18244.38086,17037.75977,18132.69922,18132.69922,1751250000,,962.708985,107.829956
01/03/15,18134.05078,18288.63086,17579.26953,17776.11914,17776.11914,2470480000,,-357.93164,-37.340087
01/04/15,17778.51953,18175.56055,17585.00977,17840.51953,17840.51953,2174880000,,62,17.880127
01/05/15,17859.26953,18351.35938,17733.11914,18010.67969,18010.67969,1832450000,,151.410157,20.01001
01/06/15,18017.82031,18188.81055,17576.5,17619.50977,17619.50977,2219240000,,-398.310547,-45.529786
01/07/15,17638.11914,18137.11914,17399.16992,17689.85938,17689.85938,2034220000,,51.740234,36.840088
01/08/15,17696.74023,17704.75977,15370.33008,16528.0293,16528.0293,2726340000,,-1168.710937,-132.309936
01/09/15,16528.0293,16933.42969,15942.37012,16284.7002,16284.7002,2724080000,,-243.329102,-50.059937
01/10/15,16278.62012,17799.96094,16013.66016,17663.53906,17663.53906,2605470000,,1384.918946,159.710083
01/11/15,17672.61914,17977.84961,17210.42969,17719.91992,17719.91992,2334610000,,47.300781,-0.350098
01/12/15,17719.7207,17901.58008,17116.73047,17425.0293,17425.0293,2521440000,,-294.691406,-38.989991
01/01/16,17405.48047,17405.48047,15450.55957,16466.30078,16466.30078,2844080000,,-939.179688,-97.959961
01/02/16,16453.63086,16795.98047,15503.00977,16516.5,16516.5,2491810000,,62.869141,-4.709961
01/03/16,16545.66992,17790.10938,16545.66992,17685.08984,17685.08984,2407750000,,1139.419922,122.650024
01/04/16,17661.74023,18167.63086,17484.23047,17773.64063,17773.64063,2096650000,,111.900391,8.679932
01/05/16,17783.7793,17934.60938,17331.07031,17787.19922,17787.19922,1879010000,,3.419922,29.780029
01/06/16,17754.55078,18016,17063.08008,17929.99023,17929.99023,2350020000,,175.439453,4.920166
01/07/16,17924.24023,18622.00977,17713.44922,18432.24023,18432.24023,1816520000,,508,74.26001
01/08/16,18434.5,18722.60938,18247.78906,18400.88086,18400.88086,1695750000,,-33.619141,-2.199951
01/09/16,18396.57031,18551.53906,17992.21094,18308.15039,18308.15039,2101120000,,-88.419922,-3.060058
01/10/16,18279.59961,18399.96094,17959.94922,18142.41992,18142.41992,1793690000,,-137.179687,-38.180176
01/11/16,18158.24023,19225.28906,17883.56055,19123.58008,19123.58008,2107770000,,965.339844,70.130127
01/12/16,19149.19922,19987.63086,19138.78906,19762.59961,19762.59961,5952470000,,613.40039,38.660156
01/01/17,19872.85938,20125.58008,19677.93945,19864.08984,19864.08984,6482450000,,-8.769531,27.300049
01/02/17,19923.81055,20851.33008,19831.08984,20812.24023,20812.24023,6185580000,,888.429687,78.049805
01/03/17,20957.28906,21169.10938,20412.80078,20663.2207,20663.2207,6941970000,,-294.06836,-17.409912
01/04/17,20665.16992,21070.90039,20379.55078,20940.50977,20940.50977,5392630000,,275.339844,21.859863
01/05/17,20962.73047,21112.32031,20553.44922,21008.65039,21008.65039,6613570000,,45.919922,23.300049
01/06/17,21030.55078,21535.0293,20994.2207,21349.63086,21349.63086,7214590000,,319.080078,7.76001
01/07/17,21392.30078,21929.80078,21279.30078,21891.11914,21891.11914,5569720000,,498.81836,38.910156
01/08/17,21961.41992,22179.10938,21600.33984,21948.09961,21948.09961,6150060000,,-13.320313,-5.450196
01/09/17,21981.76953,22419.50977,21709.63086,22405.08984,22405.08984,6342130000,,423.320313,44.940185
01/10/17,22423.4707,23485.25,22416,23377.24023,23377.24023,7302910000,,953.769531,54.060059
01/11/17,23442.90039,24327.82031,23242.75,24272.34961,24272.34961,7335640000,,829.449218,1.630127
01/12/17,24305.40039,24876.07031,23921.90039,24719.2207,24719.2207,6589890000,,413.820312,28.510009
01/01/18,24809.34961,26616.71094,24741.69922,26149.39063,26149.39063,9116920000,,1340.041016,140.080079
01/02/18,26083.03906,26306.69922,23360.28906,25029.19922,25029.19922,9450250000,,-1053.839844,-102.619873
01/03/18,25024.03906,25449.15039,23509.06055,24103.10938,24103.10938,8873040000,,-920.929688,-74.349854
01/04/18,24076.59961,24858.9707,23344.51953,24163.15039,24163.15039,8064550000,,86.550782,14.600098
01/05/18,24117.28906,25086.49023,23531.31055,24415.83984,24415.83984,7278020000,,298.550781,62.310059
01/06/18,24542.08984,25402.83008,23997.21094,24271.41016,24271.41016,7411110000,,-270.679688,-0.329834
01/07/18,24161.5293,24520.28906,24077.56055,24456.48047,24456.48047,862190000,,294.951172,54.870117
06/07/18,24352.4707,24520.28906,24281.4707,24456.48047,24456.48047,219445921,,104.009766,22.140136
,,,,,,,,,
,,,,,,,Sample Variance,303389.0668,
,,,,,,,Standard Deviation,550.8076496,
,,,,,,,Covariance,29013.97705,
,,,,,,,Correlation,0.933990053,
,,,,,,,,,
